onset	duration	sample	value	event_class	stim_id	stim_category
6.0566666667	1.0000000000	1817	fixation_cross	marker	n/a	n/a
163.9333333333	1.0000000000	49180	Category:IMG=ID:FYLLADIO_1.tif=Type:Leaflet_Images_1	stimulus	FYLLADIO_1.tif	Leaflet_Images_1
228.9433333333	1.0000000000	68683	Category:IMG=ID:FYLLADIO_2.tif=Type:Leaflet_Images_1	stimulus	FYLLADIO_2.tif	Leaflet_Images_1
283.1300000000	1.0000000000	84939	Category:IMG=ID:FYLLADIO_3.tif=Type:Leaflet_Images_1	stimulus	FYLLADIO_3.tif	Leaflet_Images_1
338.1233333333	1.0000000000	101437	Category:IMG=ID:FYLLADIO_4.tif=Type:Leaflet_Images_1	stimulus	FYLLADIO_4.tif	Leaflet_Images_1
400.3866666667	1.0000000000	120116	Category:IMG=ID:FYLLADIO_5.tif=Type:Leaflet_Images_1	stimulus	FYLLADIO_5.tif	Leaflet_Images_1
466.7333333333	1.0000000000	140020	Category:IMG=ID:FYLLADIO_6.tif=Type:Leaflet_Images_1	stimulus	FYLLADIO_6.tif	Leaflet_Images_1
507.2700000000	1.0000000000	152181	Category:IMG=ID:FYLLADIO_1.tif=Type:Leaflet_Images_1	stimulus	FYLLADIO_1.tif	Leaflet_Images_1
513.6633333333	1.0000000000	154099	EOE	marker	n/a	n/a
513.7633333333	1.0000000000	154129	Category:IMG=ID:FYLLADIO_1.tif=Type:Leaflet_Images_1	stimulus	FYLLADIO_1.tif	Leaflet_Images_1
2.9066666667	1.0000000000	872	MouseButtonLeft pressed	response	n/a	n/a
2.9866666667	1.0000000000	896	MouseButtonLeft released	response	n/a	n/a
189.1333333333	1.0000000000	56740	MouseButtonLeft pressed	response	n/a	n/a
189.2666666667	1.0000000000	56780	MouseButtonLeft released	response	n/a	n/a
207.0600000000	1.0000000000	62118	MouseButtonLeft pressed	response	n/a	n/a
207.1633333333	1.0000000000	62149	MouseButtonLeft released	response	n/a	n/a
225.1466666667	1.0000000000	67544	MouseButtonLeft pressed	response	n/a	n/a
225.2033333333	1.0000000000	67561	MouseButtonLeft released	response	n/a	n/a
253.8533333333	1.0000000000	76156	MouseButtonLeft pressed	response	n/a	n/a
253.9466666667	1.0000000000	76184	MouseButtonLeft released	response	n/a	n/a
279.6600000000	1.0000000000	83898	MouseButtonLeft pressed	response	n/a	n/a
279.7233333333	1.0000000000	83917	MouseButtonLeft released	response	n/a	n/a
297.3633333333	1.0000000000	89209	MouseButtonLeft pressed	response	n/a	n/a
297.4766666667	1.0000000000	89243	MouseButtonLeft released	response	n/a	n/a
307.1000000000	1.0000000000	92130	MouseButtonLeft pressed	response	n/a	n/a
307.1966666667	1.0000000000	92159	MouseButtonLeft released	response	n/a	n/a
314.8033333333	1.0000000000	94441	MouseButtonLeft pressed	response	n/a	n/a
314.9166666667	1.0000000000	94475	MouseButtonLeft released	response	n/a	n/a
333.4600000000	1.0000000000	100038	MouseButtonLeft pressed	response	n/a	n/a
333.5466666667	1.0000000000	100064	MouseButtonLeft released	response	n/a	n/a
375.1633333333	1.0000000000	112549	MouseButtonLeft pressed	response	n/a	n/a
375.2766666667	1.0000000000	112583	MouseButtonLeft released	response	n/a	n/a
378.9066666667	1.0000000000	113672	MouseButtonLeft pressed	response	n/a	n/a
379.0133333333	1.0000000000	113704	MouseButtonLeft released	response	n/a	n/a
390.3566666667	1.0000000000	117107	MouseButtonLeft pressed	response	n/a	n/a
390.4833333333	1.0000000000	117145	MouseButtonLeft released	response	n/a	n/a
396.6533333333	1.0000000000	118996	MouseButtonLeft pressed	response	n/a	n/a
396.7566666667	1.0000000000	119027	MouseButtonLeft released	response	n/a	n/a
426.9233333333	1.0000000000	128077	MouseButtonLeft pressed	response	n/a	n/a
426.9800000000	1.0000000000	128094	MouseButtonLeft released	response	n/a	n/a
437.4033333333	1.0000000000	131221	MouseButtonLeft pressed	response	n/a	n/a
437.4933333333	1.0000000000	131248	MouseButtonLeft released	response	n/a	n/a
445.1166666667	1.0000000000	133535	MouseButtonLeft pressed	response	n/a	n/a
445.2033333333	1.0000000000	133561	MouseButtonLeft released	response	n/a	n/a
451.0033333333	1.0000000000	135301	MouseButtonLeft pressed	response	n/a	n/a
451.1233333333	1.0000000000	135337	MouseButtonLeft released	response	n/a	n/a
464.9166666667	1.0000000000	139475	MouseButtonLeft pressed	response	n/a	n/a
464.9800000000	1.0000000000	139494	MouseButtonLeft released	response	n/a	n/a
480.1233333333	1.0000000000	144037	MouseButtonLeft pressed	response	n/a	n/a
480.1966666667	1.0000000000	144059	MouseButtonLeft released	response	n/a	n/a
483.0433333333	1.0000000000	144913	MouseButtonLeft pressed	response	n/a	n/a
483.1233333333	1.0000000000	144937	MouseButtonLeft released	response	n/a	n/a
497.0600000000	1.0000000000	149118	MouseButtonLeft pressed	response	n/a	n/a
497.1166666667	1.0000000000	149135	MouseButtonLeft released	response	n/a	n/a
500.7866666667	1.0000000000	150236	MouseButtonLeft pressed	response	n/a	n/a
500.8833333333	1.0000000000	150265	MouseButtonLeft released	response	n/a	n/a
543.4133333333	1.0000000000	163024	MouseButtonRight pressed	response	n/a	n/a
543.5333333333	1.0000000000	163060	MouseButtonRight released	response	n/a	n/a
547.0133333333	1.0000000000	164104	MouseButtonLeft pressed	response	n/a	n/a
547.0766666667	1.0000000000	164123	MouseButtonLeft released	response	n/a	n/a
551.2200000000	1.0000000000	165366	MouseButtonLeft pressed	response	n/a	n/a
551.2933333333	1.0000000000	165388	MouseButtonLeft released	response	n/a	n/a
569.4666666667	1.0000000000	170840	MouseButtonLeft pressed	response	n/a	n/a
569.5733333333	1.0000000000	170872	MouseButtonLeft released	response	n/a	n/a
576.6200000000	1.0000000000	172986	MouseButtonLeft pressed	response	n/a	n/a
576.6766666667	1.0000000000	173003	MouseButtonLeft released	response	n/a	n/a
585.0033333333	1.0000000000	175501	MouseButtonLeft pressed	response	n/a	n/a
585.1000000000	1.0000000000	175530	MouseButtonLeft released	response	n/a	n/a
586.2266666667	1.0000000000	175868	MouseButtonLeft pressed	response	n/a	n/a
586.3000000000	1.0000000000	175890	MouseButtonLeft released	response	n/a	n/a
593.4533333333	1.0000000000	178036	MouseWheelDown120 pressed	response	n/a	n/a
593.5000000000	1.0000000000	178050	MouseWheelDown120 pressed	response	n/a	n/a
593.5800000000	1.0000000000	178074	MouseWheelDown120 pressed	response	n/a	n/a
594.1966666667	1.0000000000	178259	MouseWheelDown120 pressed	response	n/a	n/a
594.2533333333	1.0000000000	178276	MouseWheelDown120 pressed	response	n/a	n/a
594.2933333333	1.0000000000	178288	MouseWheelDown120 pressed	response	n/a	n/a
598.5233333333	1.0000000000	179557	MouseWheelDown120 pressed	response	n/a	n/a
598.5633333333	1.0000000000	179569	MouseWheelDown120 pressed	response	n/a	n/a
598.9566666667	1.0000000000	179687	MouseWheelDown120 pressed	response	n/a	n/a
598.9733333333	1.0000000000	179692	MouseWheelDown120 pressed	response	n/a	n/a
598.9966666667	1.0000000000	179699	MouseWheelDown120 pressed	response	n/a	n/a
599.0200000000	1.0000000000	179706	MouseWheelDown120 pressed	response	n/a	n/a
599.3566666667	1.0000000000	179807	MouseWheelDown120 pressed	response	n/a	n/a
599.3733333333	1.0000000000	179812	MouseWheelDown120 pressed	response	n/a	n/a
599.3966666667	1.0000000000	179819	MouseWheelDown120 pressed	response	n/a	n/a
599.4200000000	1.0000000000	179826	MouseWheelDown120 pressed	response	n/a	n/a
599.4533333333	1.0000000000	179836	MouseWheelDown120 pressed	response	n/a	n/a
599.7966666667	1.0000000000	179939	MouseWheelDown120 pressed	response	n/a	n/a
599.8200000000	1.0000000000	179946	MouseWheelDown120 pressed	response	n/a	n/a
599.8433333333	1.0000000000	179953	MouseWheelDown120 pressed	response	n/a	n/a
599.8766666667	1.0000000000	179963	MouseWheelDown120 pressed	response	n/a	n/a
600.1966666667	1.0000000000	180059	MouseWheelDown120 pressed	response	n/a	n/a
600.2200000000	1.0000000000	180066	MouseWheelDown120 pressed	response	n/a	n/a
600.2433333333	1.0000000000	180073	MouseWheelDown120 pressed	response	n/a	n/a
600.2666666667	1.0000000000	180080	MouseWheelDown120 pressed	response	n/a	n/a
600.7966666667	1.0000000000	180239	MouseWheelUp120 pressed	response	n/a	n/a
600.8033333333	1.0000000000	180241	MouseWheelUp120 pressed	response	n/a	n/a
600.8133333333	1.0000000000	180244	MouseWheelUp120 pressed	response	n/a	n/a
600.8266666667	1.0000000000	180248	MouseWheelUp120 pressed	response	n/a	n/a
600.8366666667	1.0000000000	180251	MouseWheelUp120 pressed	response	n/a	n/a
600.8533333333	1.0000000000	180256	MouseWheelUp120 pressed	response	n/a	n/a
600.9000000000	1.0000000000	180270	MouseWheelUp120 pressed	response	n/a	n/a
601.1000000000	1.0000000000	180330	MouseWheelUp120 pressed	response	n/a	n/a
