onset	duration	sample	value	event_class	stim_id	stim_category
2.8300000000	1.0000000000	849	MouseButtonLeft pressed	response	n/a	n/a
2.9033333333	1.0000000000	871	MouseButtonLeft released	response	n/a	n/a
179.2166666667	1.0000000000	53765	MouseButtonLeft pressed	response	n/a	n/a
179.3100000000	1.0000000000	53793	MouseButtonLeft released	response	n/a	n/a
185.6533333333	1.0000000000	55696	MouseButtonLeft pressed	response	n/a	n/a
185.7900000000	1.0000000000	55737	MouseButtonLeft released	response	n/a	n/a
188.5100000000	1.0000000000	56553	MouseButtonLeft pressed	response	n/a	n/a
188.6633333333	1.0000000000	56599	MouseButtonLeft released	response	n/a	n/a
199.4000000000	1.0000000000	59820	MouseButtonLeft pressed	response	n/a	n/a
199.5600000000	1.0000000000	59868	MouseButtonLeft released	response	n/a	n/a
201.3600000000	1.0000000000	60408	MouseButtonLeft pressed	response	n/a	n/a
201.5266666667	1.0000000000	60458	MouseButtonLeft released	response	n/a	n/a
211.5666666667	1.0000000000	63470	MouseButtonLeft pressed	response	n/a	n/a
211.7100000000	1.0000000000	63513	MouseButtonLeft released	response	n/a	n/a
218.4066666667	1.0000000000	65522	MouseButtonLeft pressed	response	n/a	n/a
218.5433333333	1.0000000000	65563	MouseButtonLeft released	response	n/a	n/a
223.1100000000	1.0000000000	66933	MouseButtonLeft pressed	response	n/a	n/a
223.2866666667	1.0000000000	66986	MouseButtonLeft released	response	n/a	n/a
235.8066666667	1.0000000000	70742	MouseButtonLeft pressed	response	n/a	n/a
235.9433333333	1.0000000000	70783	MouseButtonLeft released	response	n/a	n/a
241.7266666667	1.0000000000	72518	MouseButtonLeft pressed	response	n/a	n/a
241.8466666667	1.0000000000	72554	MouseButtonLeft released	response	n/a	n/a
254.1900000000	1.0000000000	76257	MouseButtonLeft pressed	response	n/a	n/a
254.3200000000	1.0000000000	76296	MouseButtonLeft released	response	n/a	n/a
261.6300000000	1.0000000000	78489	MouseButtonLeft pressed	response	n/a	n/a
261.8300000000	1.0000000000	78549	MouseButtonLeft released	response	n/a	n/a
267.1600000000	1.0000000000	80148	MouseButtonLeft pressed	response	n/a	n/a
267.3033333333	1.0000000000	80191	MouseButtonLeft released	response	n/a	n/a
271.6700000000	1.0000000000	81501	MouseButtonLeft pressed	response	n/a	n/a
271.8400000000	1.0000000000	81552	MouseButtonLeft released	response	n/a	n/a
274.5200000000	1.0000000000	82356	MouseButtonLeft pressed	response	n/a	n/a
274.6466666667	1.0000000000	82394	MouseButtonLeft released	response	n/a	n/a
279.9500000000	1.0000000000	83985	MouseButtonLeft pressed	response	n/a	n/a
280.1266666667	1.0000000000	84038	MouseButtonLeft released	response	n/a	n/a
11.2300000000	1.0000000000	3369	fixation_cross	marker	n/a	n/a
165.1466666667	1.0000000000	49544	Category:IMG=ID:FYLLADIO_1.tif=Type:Leaflet_Images_1	stimulus	FYLLADIO_1.tif	Leaflet_Images_1
189.8600000000	1.0000000000	56958	Category:IMG=ID:FYLLADIO_2.tif=Type:Leaflet_Images_1	stimulus	FYLLADIO_2.tif	Leaflet_Images_1
206.5700000000	1.0000000000	61971	Category:IMG=ID:FYLLADIO_3.tif=Type:Leaflet_Images_1	stimulus	FYLLADIO_3.tif	Leaflet_Images_1
225.0766666667	1.0000000000	67523	Category:IMG=ID:FYLLADIO_4.tif=Type:Leaflet_Images_1	stimulus	FYLLADIO_4.tif	Leaflet_Images_1
243.9366666667	1.0000000000	73181	Category:IMG=ID:FYLLADIO_5.tif=Type:Leaflet_Images_1	stimulus	FYLLADIO_5.tif	Leaflet_Images_1
268.5566666667	1.0000000000	80567	Category:IMG=ID:FYLLADIO_6.tif=Type:Leaflet_Images_1	stimulus	FYLLADIO_6.tif	Leaflet_Images_1
283.3033333333	1.0000000000	84991	Category:IMG=ID:FYLLADIO_1.tif=Type:Leaflet_Images_1	stimulus	FYLLADIO_1.tif	Leaflet_Images_1
288.8900000000	1.0000000000	86667	EOE	marker	n/a	n/a
288.9933333333	1.0000000000	86698	Category:IMG=ID:FYLLADIO_1.tif=Type:Leaflet_Images_1	stimulus	FYLLADIO_1.tif	Leaflet_Images_1
