onset	duration	sample	value	event_class	stim_id	stim_category
10.8533333333	1.0000000000	3256	fixation_cross	marker	n/a	n/a
173.8700000000	1.0000000000	52161	Category:IMG=ID:FYLLADIO_1.tif=Type:Leaflet_Images_1	stimulus	FYLLADIO_1.tif	Leaflet_Images_1
258.9200000000	1.0000000000	77676	Category:IMG=ID:FYLLADIO_2.tif=Type:Leaflet_Images_1	stimulus	FYLLADIO_2.tif	Leaflet_Images_1
341.4233333333	1.0000000000	102427	Category:IMG=ID:FYLLADIO_3.tif=Type:Leaflet_Images_1	stimulus	FYLLADIO_3.tif	Leaflet_Images_1
407.7500000000	1.0000000000	122325	Category:IMG=ID:FYLLADIO_4.tif=Type:Leaflet_Images_1	stimulus	FYLLADIO_4.tif	Leaflet_Images_1
477.3633333333	1.0000000000	143209	Category:IMG=ID:FYLLADIO_5.tif=Type:Leaflet_Images_1	stimulus	FYLLADIO_5.tif	Leaflet_Images_1
588.5500000000	1.0000000000	176565	Category:IMG=ID:FYLLADIO_6.tif=Type:Leaflet_Images_1	stimulus	FYLLADIO_6.tif	Leaflet_Images_1
649.8500000000	1.0000000000	194955	Category:IMG=ID:FYLLADIO_1.tif=Type:Leaflet_Images_1	stimulus	FYLLADIO_1.tif	Leaflet_Images_1
663.0733333333	1.0000000000	198922	Category:IMG=ID:FYLLADIO_2.tif=Type:Leaflet_Images_1	stimulus	FYLLADIO_2.tif	Leaflet_Images_1
670.5066666667	1.0000000000	201152	Category:IMG=ID:FYLLADIO_3.tif=Type:Leaflet_Images_1	stimulus	FYLLADIO_3.tif	Leaflet_Images_1
681.1133333333	1.0000000000	204334	Category:IMG=ID:FYLLADIO_4.tif=Type:Leaflet_Images_1	stimulus	FYLLADIO_4.tif	Leaflet_Images_1
689.4433333333	1.0000000000	206833	Category:IMG=ID:FYLLADIO_5.tif=Type:Leaflet_Images_1	stimulus	FYLLADIO_5.tif	Leaflet_Images_1
719.9233333333	1.0000000000	215977	Category:IMG=ID:FYLLADIO_6.tif=Type:Leaflet_Images_1	stimulus	FYLLADIO_6.tif	Leaflet_Images_1
727.2533333333	1.0000000000	218176	Category:IMG=ID:FYLLADIO_1.tif=Type:Leaflet_Images_1	stimulus	FYLLADIO_1.tif	Leaflet_Images_1
730.4300000000	1.0000000000	219129	EOE	marker	n/a	n/a
730.5366666667	1.0000000000	219161	Category:IMG=ID:FYLLADIO_1.tif=Type:Leaflet_Images_1	stimulus	FYLLADIO_1.tif	Leaflet_Images_1
1.9566666667	1.0000000000	587	MouseButtonLeft pressed	response	n/a	n/a
2.0266666667	1.0000000000	608	MouseButtonLeft released	response	n/a	n/a
3.2766666667	1.0000000000	983	MouseButtonLeft pressed	response	n/a	n/a
3.3166666667	1.0000000000	995	MouseButtonLeft released	response	n/a	n/a
