onset	duration	sample	value	event_class	stim_id	stim_category
146.0833333333	1.0000000000	17530	MouseButtonLeft pressed	response	n/a	n/a
146.1833333333	1.0000000000	17542	MouseButtonLeft released	response	n/a	n/a
152.1666666667	1.0000000000	18260	MouseButtonLeft pressed	response	n/a	n/a
152.2416666667	1.0000000000	18269	MouseButtonLeft released	response	n/a	n/a
155.4166666667	1.0000000000	18650	MouseButtonLeft pressed	response	n/a	n/a
155.5083333333	1.0000000000	18661	MouseButtonLeft released	response	n/a	n/a
174.4583333333	1.0000000000	20935	MouseButtonLeft pressed	response	n/a	n/a
174.5333333333	1.0000000000	20944	MouseButtonLeft released	response	n/a	n/a
217.6250000000	1.0000000000	26115	MouseButtonLeft pressed	response	n/a	n/a
217.7250000000	1.0000000000	26127	MouseButtonLeft released	response	n/a	n/a
231.3750000000	1.0000000000	27765	MouseButtonLeft pressed	response	n/a	n/a
231.5166666667	1.0000000000	27782	MouseButtonLeft released	response	n/a	n/a
250.4333333333	1.0000000000	30052	MouseButtonLeft pressed	response	n/a	n/a
250.5500000000	1.0000000000	30066	MouseButtonLeft released	response	n/a	n/a
257.9750000000	1.0000000000	30957	MouseButtonLeft pressed	response	n/a	n/a
258.0666666667	1.0000000000	30968	MouseButtonLeft released	response	n/a	n/a
277.2833333333	1.0000000000	33274	MouseButtonLeft pressed	response	n/a	n/a
277.4250000000	1.0000000000	33291	MouseButtonLeft released	response	n/a	n/a
285.9666666667	1.0000000000	34316	MouseButtonLeft pressed	response	n/a	n/a
286.1083333333	1.0000000000	34333	MouseButtonLeft released	response	n/a	n/a
312.7083333333	1.0000000000	37525	MouseButtonLeft pressed	response	n/a	n/a
312.8250000000	1.0000000000	37539	MouseButtonLeft released	response	n/a	n/a
326.9416666667	1.0000000000	39233	MouseButtonLeft pressed	response	n/a	n/a
327.0916666667	1.0000000000	39251	MouseButtonLeft released	response	n/a	n/a
360.7166666667	1.0000000000	43286	MouseButtonLeft pressed	response	n/a	n/a
360.8666666667	1.0000000000	43304	MouseButtonLeft released	response	n/a	n/a
380.1083333333	1.0000000000	45613	MouseButtonLeft pressed	response	n/a	n/a
