onset	duration	sample	value	event_class	stim_id	stim_category
10.5250000000	1.0000000000	1263	fixation_cross	marker	n/a	n/a
145.3083333333	1.0000000000	17437	Category:IMG=ID:FYLLADIO_1.tif=Type:Leaflet_Images_1	stimulus	FYLLADIO_1.tif	Leaflet_Images_1
162.9166666667	1.0000000000	19550	Category:IMG=ID:FYLLADIO_2.tif=Type:Leaflet_Images_1	stimulus	FYLLADIO_2.tif	Leaflet_Images_1
185.0000000000	1.0000000000	22200	Category:IMG=ID:FYLLADIO_3.tif=Type:Leaflet_Images_1	stimulus	FYLLADIO_3.tif	Leaflet_Images_1
207.7416666667	1.0000000000	24929	Category:IMG=ID:FYLLADIO_4.tif=Type:Leaflet_Images_1	stimulus	FYLLADIO_4.tif	Leaflet_Images_1
219.0416666667	1.0000000000	26285	Category:IMG=ID:FYLLADIO_5.tif=Type:Leaflet_Images_1	stimulus	FYLLADIO_5.tif	Leaflet_Images_1
241.6416666667	1.0000000000	28997	Category:IMG=ID:FYLLADIO_6.tif=Type:Leaflet_Images_1	stimulus	FYLLADIO_6.tif	Leaflet_Images_1
273.5416666667	1.0000000000	32825	Category:IMG=ID:FYLLADIO_1.tif=Type:Leaflet_Images_1	stimulus	FYLLADIO_1.tif	Leaflet_Images_1
289.1166666667	1.0000000000	34694	EOE	marker	n/a	n/a
289.2166666667	1.0000000000	34706	Category:IMG=ID:FYLLADIO_1.tif=Type:Leaflet_Images_1	stimulus	FYLLADIO_1.tif	Leaflet_Images_1
142.7083333333	1.0000000000	17125	MouseButtonLeft pressed	response	n/a	n/a
142.8166666667	1.0000000000	17138	MouseButtonLeft released	response	n/a	n/a
173.1000000000	1.0000000000	20772	MouseButtonLeft pressed	response	n/a	n/a
173.2333333333	1.0000000000	20788	MouseButtonLeft released	response	n/a	n/a
178.6916666667	1.0000000000	21443	MouseButtonLeft pressed	response	n/a	n/a
178.8083333333	1.0000000000	21457	MouseButtonLeft released	response	n/a	n/a
194.6750000000	1.0000000000	23361	MouseButtonLeft pressed	response	n/a	n/a
194.8083333333	1.0000000000	23377	MouseButtonLeft released	response	n/a	n/a
203.0000000000	1.0000000000	24360	MouseButtonLeft pressed	response	n/a	n/a
203.1333333333	1.0000000000	24376	MouseButtonLeft released	response	n/a	n/a
227.7666666667	1.0000000000	27332	MouseButtonLeft pressed	response	n/a	n/a
227.8916666667	1.0000000000	27347	MouseButtonLeft released	response	n/a	n/a
233.9666666667	1.0000000000	28076	MouseButtonLeft pressed	response	n/a	n/a
234.1000000000	1.0000000000	28092	MouseButtonLeft released	response	n/a	n/a
237.2250000000	1.0000000000	28467	MouseButtonLeft pressed	response	n/a	n/a
237.3916666667	1.0000000000	28487	MouseButtonLeft released	response	n/a	n/a
257.6750000000	1.0000000000	30921	MouseButtonLeft pressed	response	n/a	n/a
257.7833333333	1.0000000000	30934	MouseButtonLeft released	response	n/a	n/a
272.5333333333	1.0000000000	32704	MouseButtonLeft pressed	response	n/a	n/a
272.6750000000	1.0000000000	32721	MouseButtonLeft released	response	n/a	n/a
286.2916666667	1.0000000000	34355	MouseButtonLeft pressed	response	n/a	n/a
286.3833333333	1.0000000000	34366	MouseButtonLeft released	response	n/a	n/a
